SubjNo,Gender,Age,Lang,List,ItemNo,TriadType,Order,WordType,LabelType,Correct,UnrelatedChoice,Comments
11,F,43,English,1A,5,Glass,2,Polysemous,Different Label,Y,1,shy- didn't say much. Spoke softly
11,F,43,English,1A,9,Horse,3,Polysemous,Same Label,N,0,shy- didn't say much. Spoke softly
11,F,43,English,1A,2,Chicken,4,Polysemous,Different Label,Y,1,shy- didn't say much. Spoke softly
11,F,43,English,1A,6,Glass,5,Polysemous,Same Label,Y,1,shy- didn't say much. Spoke softly
11,F,43,English,1A,10,Horse,6,Polysemous,Different Label,N,0,idk
11,F,43,English,1A,3,Chicken,7,Polysemous,Same Label,Y,1,shy- didn't say much. Spoke softly
11,F,43,English,1A,8,Glass,8,Polysemous,Same Label,N,0,shy- didn't say much. Spoke softly
11,F,43,English,1A,11,Horse,9,Polysemous,Same Label,N,0,shy- didn't say much. Spoke softly
11,F,43,English,1A,4,Chicken,10,Polysemous,Different Label,Y,1,shy- didn't say much. Spoke softly
11,F,43,English,1A,7,Glass,11,Polysemous,Different Label,N,0,idk
11,F,43,English,1A,12,Horse,12,Polysemous,Different Label,N,0,idk
12,F,42,English,1A,1,Chicken,1,Unambiguous,Same Label,Y,0,
12,F,42,English,1A,6,Glass,2,Unambiguous,Same Label,N,1,they like to
12,F,42,English,1A,10,Horse,3,Unambiguous,Different Label,N,1,
12,F,42,English,1A,2,Chicken,4,Unambiguous,Different Label,Y,0,so you can see it when you're eating dinner
12,F,42,English,1A,5,Glass,5,Unambiguous,Different Label,Y,0,going to do it later to Suki (friend??)
12,F,42,English,1A,9,Horse,6,Unambiguous,Same Label,Y,0,
12,F,42,English,1A,3,Chicken,7,Unambiguous,Same Label,Y,0,chicken & chicken!
12,F,42,English,1A,8,Glass,8,Unambiguous,Same Label,Y,0,glass & glass!
12,F,42,English,1A,11,Horse,9,Unambiguous,Same Label,Y,0,horse & horse!
12,F,42,English,1A,4,Chicken,10,Unambiguous,Different Label,N,1,it's cold in the water
12,F,42,English,1A,7,Glass,11,Unambiguous,Different Label,N,1,like a kangaroo (??)
12,F,42,English,1A,12,Horse,12,Unambiguous,Different Label,Y,0,
13,M,49,English,1A backwards,12,Horse,1,Polysemous,Different Label,Y,1,
13,M,49,English,1A backwards,8,Glass,2,Polysemous,Same Label,Y,1,idk
13,M,49,English,1A backwards,4,Chicken,3,Polysemous,Different Label,N,0,b/c I touched it and it was warm
13,M,49,English,1A backwards,11,Horse,4,Polysemous,Same Label,N,0,
13,M,49,English,1A backwards,7,Glass,5,Polysemous,Different Label,N,0,
13,M,49,English,1A backwards,3,Chicken,6,Polysemous,Same Label,Y,1,
13,M,49,English,1A backwards,10,Horse,7,Polysemous,Different Label,Y,1,
13,M,49,English,1A backwards,6,Glass,8,Polysemous,Same Label,Y,1,idk
13,M,49,English,1A backwards,2,Chicken,9,Polysemous,Different Label,Y,1,
13,M,49,English,1A backwards,9,Horse,10,Polysemous,Same Label,Y,1,
13,M,49,English,1A backwards,5,Glass,11,Polysemous,Different Label,Y,1,idk
13,M,49,English,1A backwards,1,Chicken,12,Polysemous,Same Label,Y,1,idk
14,F,59,English,1A backwards,12,Horse,1,Unambiguous,Different Label,Y,0,foal is a baby horse
14,F,59,English,1A backwards,8,Glass,2,Unambiguous,Same Label,Y,0,if you drop something you're too far away to repair it
14,F,59,English,1A backwards,4,Chicken,3,Unambiguous,Different Label,Y,0,
14,F,59,English,1A backwards,11,Horse,4,Unambiguous,Same Label,Y,0,
14,F,59,English,1A backwards,7,Glass,5,Unambiguous,Different Label,N,1,it's nice and colourful
14,F,59,English,1A backwards,3,Chicken,6,Unambiguous,Same Label,Y,0,both chicken
14,F,59,English,1A backwards,10,Horse,7,Unambiguous,Different Label,Y,0,foal is a baby horse
14,F,59,English,1A backwards,6,Glass,8,Unambiguous,Same Label,Y,0,
14,F,59,English,1A backwards,2,Chicken,9,Unambiguous,Different Label,Y,0,
14,F,59,English,1A backwards,9,Horse,10,Unambiguous,Same Label,Y,0,
14,F,59,English,1A backwards,5,Glass,11,Unambiguous,Different Label,Y,0,break if you threw it away
14,F,59,English,1A backwards,1,Chicken,12,Unambiguous,Same Label,Y,0,both chicken
15,M,45,"English, Polish",1B Backwards,9,Horse,1,Polysemous,Different Label,N,0,seemed shy from memory
15,M,45,"English, Polish",1B Backwards,5,Glass,2,Polysemous,Same Label,N,0,seemed shy from memory
15,M,45,"English, Polish",1B Backwards,1,Chicken,3,Polysemous,Different Label,Y,1,seemed shy from memory
15,M,45,"English, Polish",1B Backwards,10,Horse,4,Polysemous,Same Label,Y,1,seemed shy from memory
15,M,45,"English, Polish",1B Backwards,6,Glass,5,Polysemous,Different Label,N,0,seemed shy from memory
15,M,45,"English, Polish",1B Backwards,2,Chicken,6,Polysemous,Same Label,Y,1,seemed shy from memory
15,M,45,"English, Polish",1B Backwards,11,Horse,7,Polysemous,Different Label,Y,1,seemed shy from memory
15,M,45,"English, Polish",1B Backwards,7,Glass,8,Polysemous,Same Label,N,0,seemed shy from memory
15,M,45,"English, Polish",1B Backwards,3,Chicken,9,Polysemous,Different Label,N,0,seemed shy from memory
15,M,45,"English, Polish",1B Backwards,12,Horse,10,Polysemous,Same Label,N,0,seemed shy from memory
15,M,45,"English, Polish",1B Backwards,8,Glass,11,Polysemous,Different Label,N,0,seemed shy from memory
15,M,45,"English, Polish",1B Backwards,4,Chicken,12,Polysemous,Same Label,N,0,seemed shy from memory
16,F,51,English,1B Backwards,12,Horse,1,Unambiguous,Different Label,Y,0,idk
16,F,51,English,1B Backwards,8,Glass,2,Unambiguous,Same Label,Y,0,
16,F,51,English,1B Backwards,4,Chicken,3,Unambiguous,Different Label,Y,0,b/c it wants to lay eggs
16,F,51,English,1B Backwards,11,Horse,4,Unambiguous,Same Label,Y,0,
16,F,51,English,1B Backwards,7,Glass,5,Unambiguous,Different Label,Y,0,idk
16,F,51,English,1B Backwards,3,Chicken,6,Unambiguous,Same Label,Y,0,idk
16,F,51,English,1B Backwards,10,Horse,7,Unambiguous,Different Label,Y,0,b/c it gallops
16,F,51,English,1B Backwards,6,Glass,8,Unambiguous,Same Label,Y,0,
16,F,51,English,1B Backwards,2,Chicken,9,Unambiguous,Different Label,N,1,idk
16,F,51,English,1B Backwards,9,Horse,10,Unambiguous,Same Label,Y,0,
16,F,51,English,1B Backwards,5,Glass,11,Unambiguous,Different Label,Y,0,
16,F,51,English,1B Backwards,1,Chicken,12,Unambiguous,Same Label,N,1,idk
17,F,55,English,1B Backwards,12,Horse,1,Unambiguous,Different Label,Y,0,shy- didn't say anything.
17,F,55,English,1B Backwards,8,Glass,2,Unambiguous,Same Label,Y,0,shy- didn't say anything.
17,F,55,English,1B Backwards,4,Chicken,3,Unambiguous,Different Label,Y,0,shy- didn't say anything.
17,F,55,English,1B Backwards,11,Horse,4,Unambiguous,Same Label,Y,0,shy- didn't say anything.
17,F,55,English,1B Backwards,7,Glass,5,Unambiguous,Different Label,N,1,shy- didn't say anything.
17,F,55,English,1B Backwards,3,Chicken,6,Unambiguous,Same Label,Y,0,shy- didn't say anything.
17,F,55,English,1B Backwards,10,Horse,7,Unambiguous,Different Label,N,1,shy- didn't say anything.
17,F,55,English,1B Backwards,6,Glass,8,Unambiguous,Same Label,Y,0,shy- didn't say anything.
17,F,55,English,1B Backwards,2,Chicken,9,Unambiguous,Different Label,Y,0,shy- didn't say anything.
17,F,55,English,1B Backwards,9,Horse,10,Unambiguous,Same Label,Y,0,shy- didn't say anything.
17,F,55,English,1B Backwards,5,Glass,11,Unambiguous,Different Label,Y,0,shy- didn't say anything.
17,F,55,English,1B Backwards,1,Chicken,12,Unambiguous,Same Label,N,1,shy- didn't say anything.
18,M,49,English,1A,1,Chicken,1,Unambiguous,Same Label,Y,0,both chicken
18,M,49,English,1A,5,Glass,2,Unambiguous,Different Label,Y,0,both glass
18,M,49,English,1A,9,Horse,3,Unambiguous,Same Label,N,1,idk
18,M,49,English,1A,2,Chicken,4,Unambiguous,Different Label,N,1,it can peck you
18,M,49,English,1A,6,Glass,5,Unambiguous,Same Label,Y,0,
18,M,49,English,1A,10,Horse,6,Unambiguous,Different Label,N,1,that's what the old horse does
18,M,49,English,1A,3,Chicken,7,Unambiguous,Same Label,N,1,it mights peck you if you keep it inside
18,M,49,English,1A,7,Glass,8,Unambiguous,Different Label,Y,0,you might stand on the glass
18,M,49,English,1A,11,Horse,9,Unambiguous,Same Label,Y,0,it's another horse
18,M,49,English,1A,4,Chicken,10,Unambiguous,Different Label,Y,0,
18,M,49,English,1A,8,Glass,11,Unambiguous,Same Label,N,1,they might drop it and it might smash
18,M,49,English,1A,12,Horse,12,Unambiguous,Different Label,N,1,no horses go slimy
19,F,64,"English, Polish",1B,1,Chicken,1,Unambiguous,Different Label,N,1,both ducks (??)
19,F,64,"English, Polish",1B,5,Glass,2,Unambiguous,Same Label,Y,0,
19,F,64,"English, Polish",1B,9,Horse,3,Unambiguous,Different Label,Y,0,zebra is much bigger than a foal
19,F,64,"English, Polish",1B,2,Chicken,4,Unambiguous,Same Label,N,1,[kept giving different answers]
19,F,64,"English, Polish",1B,6,Glass,5,Unambiguous,Different Label,Y,0,[items said in wrong order but child pointed at correct item anyway]
19,F,64,"English, Polish",1B,10,Horse,6,Unambiguous,Same Label,Y,0,
19,F,64,"English, Polish",1B,3,Chicken,7,Unambiguous,Different Label,N,1,chickens live on farms [maybe lang. diff?]
19,F,64,"English, Polish",1B,7,Glass,8,Unambiguous,Same Label,Y,0,
19,F,64,"English, Polish",1B,11,Horse,9,Unambiguous,Different Label,N,1,[asked what a foal is- language issue?]
19,F,64,"English, Polish",1B,4,Chicken,10,Unambiguous,Same Label,N,1,it's white
19,F,64,"English, Polish",1B,8,Glass,11,Unambiguous,Different Label,N,1,so it doesn't break
19,F,64,"English, Polish",1B,12,Horse,12,Unambiguous,Same Label,N,1,it has stripes
20,M,48,English,1A,1,Chicken,1,Polysemous,Same Label,N,0,they are going to cook it
20,M,48,English,1A,5,Glass,2,Polysemous,Different Label,Y,1,they don't want it
20,M,48,English,1A,9,Horse,3,Polysemous,Same Label,Y,1,it feels warm
20,M,48,English,1A,2,Chicken,4,Polysemous,Different Label,Y,1,
20,M,48,English,1A,6,Glass,5,Polysemous,Same Label,N,0,
20,M,48,English,1A,10,Horse,6,Polysemous,Different Label,Y,1,
20,M,48,English,1A,3,Chicken,7,Polysemous,Same Label,Y,1,there's lots of grass on the farm (?)
20,M,48,English,1A,8,Glass,8,Polysemous,Different Label,N,0,
20,M,48,English,1A,11,Horse,9,Polysemous,Same Label,Y,1,
20,M,48,English,1A,4,Chicken,10,Polysemous,Different Label,Y,1,it needs to swim
20,M,48,English,1A,7,Glass,11,Polysemous,Same Label,N,0,to keep it safe
20,M,48,English,1A,12,Horse,12,Polysemous,Different Label,Y,1,
21,F,52,English,1B,1,Chicken,1,Polysemous,Different Label,Y,1,
21,F,52,English,1B,5,Glass,2,Polysemous,Same Label,N,0,
21,F,52,English,1B,9,Horse,3,Polysemous,Different Label,Y,1,idk
21,F,52,English,1B,2,Chicken,4,Polysemous,Same Label,Y,1,they need to swim
21,F,52,English,1B,6,Glass,5,Polysemous,Different Label,Y,1,looks like It's from there (?)
21,F,52,English,1B,10,Horse,6,Polysemous,Same Label,Y,1,it has a tail
21,F,52,English,1B,3,Chicken,7,Polysemous,Different Label,Y,1,
21,F,52,English,1B,7,Glass,8,Polysemous,Same Label,N,0,so it doesn't break
21,F,52,English,1B,11,Horse,9,Polysemous,Different Label,Y,1,
21,F,52,English,1B,4,Chicken,10,Polysemous,Same Label,Y,1,ducks normally feel cold
21,F,52,English,1B,8,Glass,11,Polysemous,Different Label,Y,1,don't want it to break
21,F,52,English,1B,12,Horse,12,Polysemous,Same Label,Y,1,might get fuzzy (?)
22,M,62,English,1A backwards,12,Horse,1,Polysemous,Different Label,N,0,rain is quite wet (lol)
22,M,62,English,1A backwards,8,Glass,2,Polysemous,Same Label,N,0,milk gets stuck in it
22,M,62,English,1A backwards,4,Chicken,3,Polysemous,Different Label,N,0,then it will become bigger
22,M,62,English,1A backwards,11,Horse,4,Polysemous,Same Label,N,0,
22,M,62,English,1A backwards,7,Glass,5,Polysemous,Different Label,N,0,it might splash (shatter?) and snap
22,M,62,English,1A backwards,3,Chicken,6,Polysemous,Same Label,Y,1,
22,M,62,English,1A backwards,10,Horse,7,Polysemous,Different Label,Y,1,
22,M,62,English,1A backwards,6,Glass,8,Polysemous,Same Label,N,0,
22,M,62,English,1A backwards,2,Chicken,9,Polysemous,Different Label,Y,1,
22,M,62,English,1A backwards,9,Horse,10,Polysemous,Same Label,N,0,
22,M,62,English,1A backwards,5,Glass,11,Polysemous,Different Label,N,0,
22,M,62,English,1A backwards,1,Chicken,12,Polysemous,Same Label,Y,1,need food b/c it's alive
23,F,50,English,1B Backwards,12,Horse,1,Polysemous,Same Label,Y,1,idk
23,F,50,English,1B Backwards,8,Glass,2,Polysemous,Different Label,Y,1,idk
23,F,50,English,1B Backwards,4,Chicken,3,Polysemous,Same Label,Y,1,idk
23,F,50,English,1B Backwards,11,Horse,4,Polysemous,Different Label,N,0,idk
23,F,50,English,1B Backwards,7,Glass,5,Polysemous,Same Label,N,0,idk
23,F,50,English,1B Backwards,3,Chicken,6,Polysemous,Different Label,Y,1,idk
23,F,50,English,1B Backwards,10,Horse,7,Polysemous,Same Label,Y,1,idk
23,F,50,English,1B Backwards,6,Glass,8,Polysemous,Different Label,N,0,idk
23,F,50,English,1B Backwards,2,Chicken,9,Polysemous,Same Label,Y,1,
23,F,50,English,1B Backwards,9,Horse,10,Polysemous,Different Label,N,0,
23,F,50,English,1B Backwards,5,Glass,11,Polysemous,Same Label,N,0,
23,F,50,English,1B Backwards,1,Chicken,12,Polysemous,Different Label,N,0,seemed to guess
24,F,50,English,1A,1,Chicken,1,Unambiguous,Same Label,Y,0,
24,F,50,English,1A,5,Glass,2,Unambiguous,Different Label,N,1,not sure
24,F,50,English,1A,9,Horse,3,Unambiguous,Same Label,Y,0,
24,F,50,English,1A,2,Chicken,4,Unambiguous,Different Label,Y,0,
24,F,50,English,1A,6,Glass,5,Unambiguous,Same Label,N,1,[guessed?]
24,F,50,English,1A,10,Horse,6,Unambiguous,Different Label,Y,0,[guessed?]
24,F,50,English,1A,3,Chicken,7,Unambiguous,Same Label,Y,0,
24,F,50,English,1A,7,Glass,8,Unambiguous,Different Label,Y,0,just because
24,F,50,English,1A,11,Horse,9,Unambiguous,Same Label,Y,0,
24,F,50,English,1A,4,Chicken,10,Unambiguous,Different Label,Y,0,idk
24,F,50,English,1A,8,Glass,11,Unambiguous,Same Label,Y,0,
24,F,50,English,1A,12,Horse,12,Unambiguous,Different Label,N,1,
25,F,58,English,1B Backwards,12,Horse,1,Polysemous,Same Label,Y,1,
25,F,58,English,1B Backwards,8,Glass,2,Polysemous,Different Label,Y,1,it might break
25,F,58,English,1B Backwards,4,Chicken,3,Polysemous,Same Label,Y,1,it looks white
25,F,58,English,1B Backwards,11,Horse,4,Polysemous,Different Label,Y,1,
25,F,58,English,1B Backwards,7,Glass,5,Polysemous,Same Label,N,0,it can't hang on trees (?)
25,F,58,English,1B Backwards,3,Chicken,6,Polysemous,Different Label,Y,1,
25,F,58,English,1B Backwards,10,Horse,7,Polysemous,Same Label,Y,1,idk
25,F,58,English,1B Backwards,6,Glass,8,Polysemous,Different Label,N,0,idk
25,F,58,English,1B Backwards,2,Chicken,9,Polysemous,Same Label,Y,1,
25,F,58,English,1B Backwards,9,Horse,10,Polysemous,Different Label,Y,1,
25,F,58,English,1B Backwards,5,Glass,11,Polysemous,Same Label,N,0,idk
25,F,58,English,1B Backwards,1,Chicken,12,Polysemous,Different Label,Y,1,idk
26,F,44,English,1B,1,Chicken,1,Unambiguous,Different Label,N,1,quiet- didn't say much initially
26,F,44,English,1B,5,Glass,2,Unambiguous,Same Label,Y,0,
26,F,44,English,1B,9,Horse,3,Unambiguous,Different Label,N,1,idk
26,F,44,English,1B,2,Chicken,4,Unambiguous,Same Label,N,1,
26,F,44,English,1B,6,Glass,5,Unambiguous,Different Label,N,1,it's glass
26,F,44,English,1B,10,Horse,6,Unambiguous,Same Label,N,1,
26,F,44,English,1B,3,Chicken,7,Unambiguous,Different Label,Y,0,idk
26,F,44,English,1B,7,Glass,8,Unambiguous,Same Label,Y,0,
26,F,44,English,1B,11,Horse,9,Unambiguous,Different Label,N,1,looks similar
26,F,44,English,1B,4,Chicken,10,Unambiguous,Same Label,Y,0,
26,F,44,English,1B,8,Glass,11,Unambiguous,Different Label,N,1,glass is plastic(??)
26,F,44,English,1B,12,Horse,12,Unambiguous,Same Label,N,1,it's similar- vacillated b/w them. Guessed?
27,M,36,English,1A backwards,12,Horse,1,Polysemous,Different Label,N,0,talked a lot about cars- guessed?
27,M,36,English,1A backwards,8,Glass,2,Polysemous,Same Label,Y,1,talked a lot about cars- guessed?
27,M,36,English,1A backwards,4,Chicken,3,Polysemous,Different Label,Y,1,talked a lot about cars- guessed?
27,M,36,English,1A backwards,11,Horse,4,Polysemous,Same Label,N,0,talked a lot about cars- guessed?
27,M,36,English,1A backwards,7,Glass,5,Polysemous,Different Label,N,0,talked a lot about cars- guessed?
27,M,36,English,1A backwards,3,Chicken,6,Polysemous,Same Label,Y,1,talked a lot about cars- guessed?
27,M,36,English,1A backwards,10,Horse,7,Polysemous,Different Label,Y,1,said this before switching to other option- guessed?
27,M,36,English,1A backwards,6,Glass,8,Polysemous,Same Label,Y,1,talked a lot about cars- guessed?
27,M,36,English,1A backwards,2,Chicken,9,Polysemous,Different Label,N,0,talked a lot about cars- guessed?
